State,Year,Season,Crop,Area,Production,Rainfall
Andaman and Nicobar Islands,2000,Kharif     ,Arecanut,1254,2000,2763.2
Andaman and Nicobar Islands,2000,Kharif     ,Other Kharif pulses,2,1,2763.2
Andaman and Nicobar Islands,2000,Kharif     ,Rice,102,321,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Banana,176,641,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Cashewnut,720,165,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Coconut ,18168,65100000,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Dry ginger,36,100,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Sugarcane,1,2,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Sweet potato,5,15,2763.2
Andaman and Nicobar Islands,2000,Whole Year ,Tapioca,40,169,2763.2
Andaman and Nicobar Islands,2001,Kharif     ,Arecanut,1254,2061,3080.9
Andaman and Nicobar Islands,2001,Kharif     ,Other Kharif pulses,2,1,3080.9
Andaman and Nicobar Islands,2001,Kharif     ,Rice,83,300,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Cashewnut,719,192,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Coconut ,18190,64430000,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Dry ginger,46,100,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Sugarcane,1,1,3080.9
Andaman and Nicobar Islands,2001,Whole Year ,Sweet potato,11,33,3080.9
Andaman and Nicobar Islands,2002,Kharif     ,Rice,189.2,510.84,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Arecanut,1258,2083,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Banana,213,1278,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Black pepper,63,13.5,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Cashewnut,719,208,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Coconut ,18240,67490000,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Dry chillies,413,28.8,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Dry ginger,47.3,133,2620.2
Andaman and Nicobar Islands,2002,Whole Year ,Sugarcane,5,40,2620.2
Andaman and Nicobar Islands,2003,Kharif     ,Rice,52,90.17,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Arecanut,1261,1525,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Banana,266,1763,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Black pepper,75.5,15.86,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Cashewnut,717,208.5,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Coconut ,18284.74,68580000,2355.9
Andaman and Nicobar Islands,2003,Whole Year ,Dry chillies,60,102,2355.9
